word,label
grandchildren,E-NP
of,S-PP
Elvis,B-NP
Presley,E-NP
.,O
,
Who,S-NP
is,S-VP
the,B-NP
youngest,I-NP
Darts,I-NP
player,E-NP
?,O
,
Where,S-ADVP
was,S-VP
Bach,S-NP
born,S-VP
?,O
,
In,S-PP
which,S-NP
countries,S-NP
can,S-VP
you,S-NP
pay,B-VP
using,E-VP
the,B-NP
West,I-NP
African,I-NP
CFA,I-NP
franc,E-NP
?,O
,
What,S-NP
are,S-VP
the,B-NP
top-10,I-NP
action,I-NP
role,E-NP
-,O
playing,S-VP
video,B-NP
games,E-NP
according,S-PP
to,S-PP
IGN,S-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
most,I-NP
frequent,I-NP
cause,E-NP
of,S-PP
death,S-NP
?,O
,
Does,O
the,B-NP
Isar,I-NP
flow,E-NP
into,S-PP
a,B-NP
lake,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
films,E-NP
produced,S-VP
by,S-PP
Steven,B-NP
Spielberg,E-NP
with,S-PP
a,B-NP
budget,E-NP
of,S-PP
at,B-NP
least,I-NP
$,I-NP
80,I-NP
million,E-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
writers,E-NP
that,S-NP
won,S-VP
the,B-NP
Nobel,I-NP
Prize,E-NP
in,S-PP
literature,S-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
taikonauts,E-NP
.,O
,
How,B-NP
many,I-NP
pages,E-NP
does,S-VP
War,B-NP
and,I-NP
Peace,E-NP
have,S-VP
?,O
,
What,S-NP
is,S-VP
the,B-NP
bridge,E-NP
with,S-PP
the,B-NP
longest,I-NP
span,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
actors,E-NP
called,S-VP
Baldwin,S-NP
.,O
,
Who,S-NP
is,S-VP
the,B-NP
tallest,I-NP
player,E-NP
of,S-PP
the,B-NP
Atlanta,I-NP
Falcons,E-NP
?,O
,
Which,S-NP
rivers,S-NP
flow,S-VP
into,S-PP
a,B-NP
German,I-NP
lake,E-NP
?,O
,
How,B-NP
many,I-NP
James,I-NP
Bond,I-NP
movies,E-NP
are,S-VP
there,S-ADVP
?,O
,
Which,B-NP
rockets,E-NP
were,B-VP
launched,E-VP
from,S-PP
Baikonur,S-NP
?,O
,
Which,B-NP
pope,E-NP
succeeded,S-VP
John,B-NP
Paul,I-NP
II,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
Dutch,I-NP
parties,E-NP
.,O
,
When,S-ADVP
is,S-VP
Halloween,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
Swedish,I-NP
oceanographers,E-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
actors,E-NP
who,S-NP
were,B-VP
born,E-VP
in,S-PP
Berlin,S-NP
.,O
,
What,S-NP
was,S-VP
the,B-NP
last,I-NP
movie,E-NP
with,S-PP
Alec,B-NP
Guinness,E-NP
?,O
,
Which,B-NP
poet,E-NP
wrote,S-VP
the,B-NP
most,I-NP
books,E-NP
?,O
,
How,B-NP
many,I-NP
languages,E-NP
are,B-VP
spoken,E-VP
in,S-PP
Colombia,S-NP
?,O
,
What,S-NP
does,O
ICRO,S-NP
stand,S-VP
for,S-PP
?,O
,
What,S-NP
was,S-VP
Brazil,S-NP
's,B-NP
lowest,I-NP
rank,E-NP
in,S-PP
the,B-NP
FIFA,I-NP
World,I-NP
Ranking,E-NP
?,O
,
Give,S-VP
me,S-NP
the,B-NP
capitals,E-NP
of,S-PP
all,B-NP
countries,E-NP
that,S-SBAR
the,B-NP
Himalayas,E-NP
run,S-VP
through,S-ADVP
.,O
,
Which,B-NP
actor,E-NP
played,S-VP
Chewbacca,S-NP
?,O
,
Which,B-NP
ingredients,E-NP
do,S-VP
I,S-NP
need,S-VP
for,S-PP
carrot,B-NP
cake,E-NP
?,O
,
Is,S-VP
Cola,B-NP
a,I-NP
beverage,E-NP
?,O
,
Who,S-NP
has,S-VP
Tom,B-NP
Cruise,E-NP
been,B-VP
married,E-VP
to,S-PP
?,O
,
Which,S-NP
of,S-PP
Tim,B-NP
Burton,E-NP
's,B-NP
films,E-NP
had,S-VP
the,B-NP
highest,I-NP
budget,E-NP
?,O
,
How,B-NP
heavy,E-NP
is,S-VP
Jupiter,S-NP
's,B-NP
lightest,I-NP
moon,E-NP
?,O
,
Which,S-NP
actor,S-NP
was,B-VP
casted,E-VP
in,S-PP
the,B-NP
most,I-NP
movies,E-NP
?,O
,
Is,S-VP
James,B-NP
Bond,E-NP
married,S-VP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
Australian,I-NP
metalcore,I-NP
bands,E-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
actors,E-NP
who,S-NP
were,B-VP
born,E-VP
in,S-PP
Paris,S-NP
after,S-PP
1950.,S-NP
,
When,S-ADVP
was,S-VP
Olof,B-NP
Palme,I-NP
shot,E-NP
?,O
,
Who,S-NP
are,S-VP
the,B-NP
four,I-NP
youngest,I-NP
MVP,I-NP
basketball,I-NP
players,E-NP
?,O
,
Which,B-NP
companies,E-NP
have,S-VP
more,B-NP
than,I-NP
1,I-NP
million,I-NP
employees,E-NP
?,O
,
Give,S-VP
all,B-NP
swimmers,E-NP
that,S-NP
were,B-VP
born,E-VP
in,S-PP
Moscow,S-NP
.,O
,
Who,S-NP
was,B-VP
called,E-VP
Rodzilla,S-NP
?,O
,
Show,S-VP
me,S-NP
the,B-NP
book,E-NP
that,S-SBAR
Muhammad,B-NP
Ali,E-NP
wrote,S-VP
.,O
,
How,B-NP
many,I-NP
museums,E-NP
does,S-VP
Paris,S-NP
have,S-VP
?,O
,
Which,B-NP
city,E-NP
has,S-VP
the,B-NP
most,I-NP
inhabitants,E-NP
?,O
,
Which,B-NP
city,E-NP
has,S-VP
the,B-NP
least,I-NP
inhabitants,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
the,I-NP
TV,I-NP
shows,E-NP
with,S-PP
Neil,B-NP
Patrick,I-NP
Harris,E-NP
.,O
,
Who,S-NP
wrote,S-VP
The,B-NP
Hunger,I-NP
Games,E-NP
?,O
,
Show,S-VP
a,B-NP
list,E-NP
of,S-PP
soccer,B-NP
clubs,E-NP
that,S-NP
play,S-VP
in,S-PP
the,B-NP
Bundesliga,E-NP
.,O
,
What,B-NP
country,E-NP
is,S-VP
Mount,B-NP
Everest,E-NP
in,S-PP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
founder,E-NP
of,S-PP
Penguin,B-NP
Books,E-NP
?,O
,
Which,B-NP
programming,I-NP
languages,E-NP
influenced,S-VP
Javascript,S-NP
?,O
,
Did,O
Che,B-NP
Guevara,E-NP
have,S-VP
children,S-NP
?,O
,
List,S-VP
all,B-NP
the,I-NP
musicals,E-NP
with,S-PP
music,S-NP
by,S-PP
Leonard,B-NP
Bernstein,E-NP
.,O
,
Show,S-VP
me,S-NP
all,B-NP
the,I-NP
breweries,E-NP
in,S-PP
Australia,S-NP
.,O
,
When,S-ADVP
was,S-VP
the,B-NP
Titanic,E-NP
completed,S-VP
?,O
,
How,B-NP
much,E-NP
did,S-VP
Pulp,B-NP
Fiction,I-NP
cost,E-NP
?,O
,
How,B-NP
many,I-NP
airlines,E-NP
are,S-VP
there,S-ADVP
?,O
,
Who,S-NP
played,S-VP
Agent,B-NP
Smith,E-NP
in,S-PP
Matrix,S-NP
?,O
,
How,B-NP
much,I-NP
carbs,E-NP
does,O
peanut,B-NP
butter,E-NP
have,S-VP
?,O
,
Which,B-NP
book,E-NP
has,S-VP
the,B-NP
most,I-NP
pages,E-NP
?,O
,
Which,B-NP
bridges,E-NP
cross,S-VP
the,B-NP
Seine,E-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
mayor,E-NP
of,S-PP
the,B-NP
capital,E-NP
of,S-PP
French,B-NP
Polynesia,E-NP
?,O
,
When,S-ADVP
did,O
Dracula,S-NP
's,B-NP
creator,E-NP
die,S-VP
?,O
,
What,S-NP
is,S-VP
the,B-NP
location,E-NP
of,S-PP
the,B-NP
Houses,E-NP
of,S-PP
Parliament,S-NP
?,O
,
Show,S-VP
me,S-NP
all,B-NP
English,I-NP
Gothic,I-NP
buildings,E-NP
in,S-PP
Kent,S-NP
.,O
,
Who,S-NP
was,S-VP
the,B-NP
pope,E-NP
that,S-NP
founded,S-VP
the,B-NP
Vatican,I-NP
Television,E-NP
?,O
,
What,B-NP
airlines,E-NP
are,S-VP
part,S-NP
of,S-PP
the,B-NP
SkyTeam,I-NP
alliance,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
total,I-NP
population,E-NP
of,S-PP
Melbourne,S-NP
,,O
Florida,S-NP
?,O
,
Which,S-NP
airports,S-NP
does,S-VP
Yeti,B-NP
Airlines,E-NP
serve,S-VP
?,O
,
In,S-PP
which,S-NP
year,S-NP
was,S-VP
Rachel,B-NP
Stevens,E-NP
born,S-VP
?,O
,
Where,S-ADVP
was,S-VP
JFK,S-NP
assassinated,S-VP
?,O
,
How,B-NP
many,I-NP
politicians,E-NP
graduated,S-VP
from,S-PP
Columbia,B-NP
University,E-NP
?,O
,
Which,B-NP
scientist,E-NP
is,B-VP
known,E-VP
for,S-PP
the,B-NP
Manhattan,I-NP
Project,E-NP
and,O
the,B-NP
Nobel,I-NP
Peace,I-NP
Prize,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
highest,I-NP
volcano,E-NP
in,S-PP
Africa,S-NP
?,O
,
Which,B-NP
beer,E-NP
originated,S-VP
in,S-PP
Ireland,S-NP
?,O
,
What,S-NP
are,S-VP
the,B-NP
specialities,E-NP
of,S-PP
the,B-NP
UNC,I-NP
Health,I-NP
Care,E-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
owner,E-NP
of,S-PP
Facebook,S-NP
?,O
,
From,S-PP
which,S-NP
region,S-NP
is,S-VP
the,B-NP
Melon,I-NP
de,I-NP
Bourgogne,E-NP
?,O
,
Who,S-NP
was,B-VP
influenced,E-VP
by,S-PP
Socrates,S-NP
?,O
,
Who,S-NP
was,S-VP
president,S-NP
of,S-PP
Pakistan,S-NP
in,S-PP
1978,S-NP
?,O
,
Give,S-VP
me,S-NP
English,B-NP
actors,E-NP
starring,S-VP
in,S-PP
Lovesick,S-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
types,E-NP
of,S-PP
eating,B-NP
disorders,E-NP
.,O
,
Who,S-NP
was,B-VP
married,E-VP
to,S-PP
president,B-NP
Chirac,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
largest,I-NP
metropolitan,I-NP
area,E-NP
in,S-PP
Washington,B-NP
state,E-NP
?,O
,
Where,S-ADVP
in,S-PP
France,S-NP
is,S-VP
sparkling,B-NP
wine,E-NP
produced,S-VP
?,O
,
Where,S-ADVP
did,O
Hillel,B-NP
Slovak,E-NP
die,S-VP
?,O
,
What,S-NP
is,S-VP
the,B-NP
timezone,E-NP
in,S-PP
San,B-NP
Pedro,I-NP
de,I-NP
Atacama,E-NP
?,O
,
In,S-PP
which,S-NP
city,S-NP
does,S-VP
the,B-NP
Chile,I-NP
Route,I-NP
68,I-NP
end,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
ESA,I-NP
astronauts,E-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
Swedish,I-NP
holidays,E-NP
.,O
,
Who,S-NP
is,S-VP
the,B-NP
youngest,I-NP
Pulitzer,I-NP
Prize,I-NP
winner,E-NP
?,O
,
Which,S-NP
animals,S-NP
are,B-VP
critically,I-VP
endangered,E-VP
?,O
,
Which,S-NP
soccer,B-NP
players,E-NP
were,B-VP
born,E-VP
on,S-PP
Malta,S-NP
?,O
,
Did,O
Arnold,B-NP
Schwarzenegger,E-NP
attend,S-VP
a,B-NP
university,E-NP
?,O
,
Which,B-NP
programming,I-NP
languages,E-NP
were,B-VP
influenced,E-VP
by,S-PP
Perl,S-NP
?,O
,
Is,S-VP
Barack,B-NP
Obama,E-NP
a,B-NP
democrat,E-NP
?,O
,
How,B-NP
many,I-NP
children,E-NP
does,S-VP
Eddie,B-NP
Murphy,E-NP
have,S-VP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
oldest,I-NP
child,E-NP
of,S-PP
Meryl,B-NP
Streep,E-NP
?,O
,
Who,S-NP
killed,S-VP
John,B-NP
Lennon,E-NP
?,O
,
Which,B-NP
frequent,I-NP
flyer,I-NP
program,E-NP
has,S-VP
the,B-NP
most,I-NP
airlines,E-NP
?,O
,
In,S-PP
which,B-NP
city,E-NP
is,S-VP
Air,B-NP
China,E-NP
headquartered,S-VP
?,O
,
Which,B-NP
artists,E-NP
were,B-VP
born,E-VP
on,S-PP
the,B-NP
same,I-NP
date,E-NP
as,S-PP
Rachel,B-NP
Stevens,E-NP
?,O
,
How,B-NP
many,I-NP
scientists,E-NP
graduated,S-VP
from,S-PP
an,B-NP
Ivy,I-NP
League,I-NP
university,E-NP
?,O
,
Which,B-NP
types,E-NP
of,S-PP
grapes,S-NP
grow,S-VP
in,S-PP
Oregon,S-NP
?,O
,
Who,S-NP
is,B-VP
starring,E-VP
in,S-PP
Spanish,B-NP
movies,E-NP
produced,S-VP
by,S-PP
Benicio,B-NP
del,I-NP
Toro,E-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
manager,E-NP
of,S-PP
Real,B-NP
Madrid,E-NP
?,O
,
Give,S-VP
me,S-NP
the,B-NP
currency,E-NP
of,S-PP
China,S-NP
.,O
,
Which,S-NP
movies,S-NP
starring,S-VP
Mickey,B-NP
Rourke,E-NP
were,B-VP
directed,E-VP
by,S-PP
Guy,B-NP
Ritchie,E-NP
?,O
,
Is,S-VP
Darth,B-NP
Vader,I-NP
Luke,I-NP
s,I-NP
father,E-NP
?,O
,
How,B-NP
many,I-NP
companies,E-NP
were,B-VP
founded,E-VP
by,S-PP
the,B-NP
founder,E-NP
of,S-PP
Facebook,S-NP
?,O
,
How,B-NP
many,I-NP
companies,E-NP
were,B-VP
founded,E-VP
in,S-PP
the,B-NP
same,I-NP
year,E-NP
as,S-PP
Google,S-NP
?,O
,
Which,S-NP
subsidiary,S-NP
of,S-PP
TUI,B-NP
Travel,E-NP
serves,S-VP
both,B-NP
Glasgow,I-NP
and,I-NP
Dublin,E-NP
?,O
,
How,B-NP
many,I-NP
airlines,E-NP
are,S-VP
members,S-NP
of,S-PP
the,B-NP
Star,I-NP
Alliance,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
spacecrafts,E-NP
that,S-NP
flew,S-VP
to,S-PP
Mars,S-NP
.,O
,
Which,B-NP
musician,E-NP
wrote,S-VP
the,B-NP
most,I-NP
books,E-NP
?,O
,
Show,S-VP
me,S-NP
everyone,S-NP
who,S-NP
was,B-VP
born,E-VP
on,S-PP
Halloween,S-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
Swiss,I-NP
non-profit,I-NP
organizations,E-NP
.,O
,
In,S-PP
which,S-NP
country,S-NP
is,S-VP
Mecca,S-NP
located,S-VP
?,O
,
What,S-NP
is,S-VP
the,B-NP
net,I-NP
income,E-NP
of,S-PP
Apple,S-NP
?,O
,
What,S-NP
does,O
the,O
abbreviation,O
FIFA,O
stand,S-VP
for,S-PP
?,O
,
When,S-ADVP
did,O
the,B-NP
Ming,I-NP
dynasty,E-NP
dissolve,S-VP
?,O
,
Which,B-NP
museum,E-NP
in,S-PP
New,B-NP
York,E-NP
has,S-VP
the,B-NP
most,I-NP
visitors,E-NP
?,O
,
Is,S-VP
Lake,B-NP
Baikal,E-NP
bigger,S-ADJP
than,S-PP
the,B-NP
Great,I-NP
Bear,I-NP
Lake,E-NP
?,O
,
Desserts,S-NP
from,S-PP
which,S-NP
country,S-NP
contain,S-VP
fish,S-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
highest,I-NP
mountain,E-NP
in,S-PP
Italy,S-NP
?,O
,
Where,S-ADVP
did,O
the,B-NP
architect,E-NP
of,S-PP
the,B-NP
Eiffel,I-NP
Tower,I-NP
study,E-NP
?,O
,
Which,S-NP
Greek,B-NP
parties,E-NP
are,S-VP
pro-European,S-ADJP
?,O
,
What,S-NP
is,S-VP
the,B-NP
height,I-NP
difference,E-NP
between,S-PP
Mount,B-NP
Everest,E-NP
and,O
K2,S-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
mayor,E-NP
of,S-PP
Rotterdam,S-NP
?,O
,
In,S-PP
which,S-NP
city,S-NP
were,S-VP
the,B-NP
parents,E-NP
of,S-PP
Che,B-NP
Guevara,E-NP
born,S-VP
?,O
,
How,B-ADJP
high,E-ADJP
is,S-VP
the,B-NP
lighthouse,E-NP
in,S-PP
Colombo,S-NP
?,O
,
Are,S-VP
Taiko,B-NP
a,I-NP
kind,E-NP
of,S-PP
Japanese,B-NP
musical,I-NP
instruments,E-NP
?,O
,
How,B-NP
many,I-NP
ethnic,I-NP
groups,E-NP
live,S-VP
in,S-PP
Slovenia,S-NP
?,O
,
List,S-VP
the,B-NP
seven,I-NP
kings,E-NP
of,S-PP
Rome,S-NP
.,O
,
Who,S-NP
were,S-VP
the,B-NP
parents,E-NP
of,S-PP
Queen,B-NP
Victoria,E-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
heaviest,I-NP
player,E-NP
of,S-PP
the,B-NP
Chicago,I-NP
Bulls,E-NP
?,O
,
Which,B-NP
volcanos,E-NP
in,S-PP
Japan,S-NP
erupted,S-VP
since,S-PP
2000,S-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
tallest,I-NP
basketball,I-NP
player,E-NP
?,O
,
